product_id,product_name,product_name_eng,product description_eng,product_description_thai,price,unit,image_thumb,Brand,product_type
1235000,ปูนข้างงานโครงสร้าง,Structural Cement,"High-strength cement used for structural applications such as beams, columns, and foundations, ensuring durability and stability. It provides excellent bonding and load-bearing capacity, making it ideal for long-lasting constructions.",บรรจุ ถุงละ 50 กก. ปูนซีเมนต์กำลังสูง ใช้สำหรับงานโครงสร้าง เช่น คาน เสา และฐานราก ให้ความแข็งแรงและทนทานสูง ยึดเกาะดีเยี่ยมและรับน้ำหนักได้ดี เหมาะกับงานก่อสร้างที่ต้องการความมั่นคงยาวนาน.,145,บาท,/images/cement-1.png,,ปูนถุง
1135000,ปูนเสือ ซีเมนต์ ซูเปอร์ ก่อ ฉาบ เท,Tiger Cement Super,"A versatile cement suitable for various applications, including bricklaying, wall plastering, and general pouring work. It ensures strong adhesion, smooth finishing, and enhanced durability, making it a reliable choice for construction projects.",บรรจุ ถุงละ 40 กก.ปูนซีเมนต์อเนกประสงค์ ใช้สำหรับงานก่ออิฐ ฉาบผนัง และงานเททั่วไป ให้การยึดเกาะที่ดีเยี่ยม ผิวเรียบเนียน และเพิ่มความทนทาน ทำให้เหมาะกับงานก่อสร้างทุกประเภท.,130,บาท,/images/cement-2.png,,ปูนถุง
6902403,เสือ ซีเมนต์ ปูนซีเมนต์ผสม ฉาบสูตรพิเศษ,Tiger Cement Mixed Cement,"A specially formulated cement designed for high-quality plastering work, providing a smooth and crack-resistant surface. Its fine texture allows for easy application, reducing labor time while ensuring a long-lasting, professional finish.",บรรจุ ถุงละ 40 กก. ปูนซีเมนต์สูตรพิเศษสำหรับงานฉาบ ให้ผิวเรียบเนียนและป้องกันรอยแตกร้าว เนื้อปูนละเอียดใช้งานง่าย ลดระยะเวลาทำงาน พร้อมมอบผลงานคุณภาพสูงที่ทนทานยาวนาน.,160,บาท,/images/cement-3.png,,ปูนถุง
1328935,ปูนซีเมนต์สำเร็จรูป เสือ มอร์ตาร์ ฉาบทั่วไป,Tiger Mortar Ready-Mixed Cement (General Plastering),"A pre-mixed mortar designed for general plastering applications, offering convenience and consistent quality. It ensures strong adhesion, smooth application, and a durable finish, reducing the need for additional mixing.",บรรจุ ถุงละ 50 กก. ปูนสำเร็จรูปสำหรับงานฉาบทั่วไป ใช้งานสะดวกและให้คุณภาพที่สม่ำเสมอ ช่วยให้การยึดเกาะดี ฉาบง่าย และให้พื้นผิวที่เรียบเนียน แข็งแรง ลดขั้นตอนการผสมเพิ่มเติม.,70,บาท,/images/cement-4.png,,ปูนถุง
1000610,เหล็กเส้นกลมโรงใหญ่ 6 มม.x10เมตร. SR-24,Large Mill Round Steel Bars,"Large mill round steel bars, 6mm x 10m, SR-24. Used in general construction for reinforcing concrete structures and improving tensile strength. Suitable for residential and commercial building projects.",เหล็กเส้นกลมโรงใหญ่ ขนาด 6 มม. x 10 เมตร SR-24 ใช้ในงานก่อสร้างทั่วไปสำหรับเสริมคอนกรีตและเพิ่มความแข็งแรงต่อแรงดึง เหมาะสำหรับโครงการก่อสร้างที่พักอาศัยและอาคารพาณิชย์,70,บาท / เส้น,/images/metal-circle-1.png,TATA,เหล็กเส้น
1000910,เหล็กเส้นกลมโรงใหญ่ 9 มม.x10เมตร. SR-24,Large Mill Round Steel Bars,"Large mill round steel bars, 9mm x 10m, SR-24. Provides reinforcement for concrete structures, increasing their load-bearing capacity. Commonly used in slabs, beams, and foundations.",เหล็กเส้นกลมโรงใหญ่ ขนาด 9 มม. x 10 เมตร SR-24 ใช้เสริมแรงในโครงสร้างคอนกรีตเพื่อเพิ่มความสามารถในการรับน้ำหนัก นิยมใช้ในพื้นคอนกรีต คาน และฐานราก,151,บาท / เส้น,/images/metal-circle-2.png,TATA,เหล็กเส้น
1001210,เหล็กเส้นกลมโรงใหญ่ 12 มม.x10เมตร. SR-24,Large Mill Round Steel Bars,"Large mill round steel bars, 12mm x 10m, SR-24. High-quality reinforcement steel suitable for various construction applications, including roads, bridges, and multi-story buildings.",เหล็กเส้นกลมโรงใหญ่ ขนาด 12 มม. x 10 เมตร SR-24 เป็นเหล็กเสริมแรงคุณภาพสูง เหมาะสำหรับงานก่อสร้างต่างๆ เช่น ถนน สะพาน และอาคารสูง,266,บาท / เส้น,/images/metal-circle-3.png,TATA,เหล็กเส้น
1011210,เหล็กเส้นข้ออ้อย โรงใหญ่ 12 มม.x10เมตร. Sd-40,Large Mill Deformed Steel Bars,"Large mill deformed steel bars, 12mm x 10m, SD-40. Designed with ribbed surfaces to improve bonding with concrete. Commonly used in load-bearing structures and heavy construction projects.",เหล็กเส้นข้ออ้อยโรงใหญ่ ขนาด 12 มม. x 10 เมตร SD-40 มีพื้นผิวเป็นร่องช่วยเพิ่มการยึดเกาะกับคอนกรีต เหมาะสำหรับโครงสร้างรับน้ำหนักและงานก่อสร้างขนาดใหญ่,263,บาท / เส้น,/images/metal-circle-4.png,TXS,เหล็กเส้น
1011610,เหล็กเส้นข้ออ้อย โรงใหญ่ 16 มม.x10เมตร. Sd-40,Large Mill Deformed Steel Bars,"Large mill deformed steel bars, 16mm x 10m, SD-40. Provides superior tensile strength and durability for structural applications. Ideal for use in columns, beams, and reinforced concrete frames.",เหล็กเส้นข้ออ้อยโรงใหญ่ ขนาด 16 มม. x 10 เมตร SD-40 มีความแข็งแรงสูงและทนทาน เหมาะสำหรับใช้ในเสา คาน และโครงสร้างคอนกรีตเสริมเหล็ก,464,บาท / เส้น,/images/metal-circle-5.png,TXS,เหล็กเส้น
1012010,เหล็กเส้นข้ออ้อย โรงใหญ่ 20 มม.x10เมตร. Sd-40,Large Mill Deformed Steel Bars,"Large mill deformed steel bars, 20mm x 10m, SD-40. High-strength reinforcement steel suitable for heavy-duty construction, including bridges, tunnels, and high-rise buildings.",เหล็กเส้นข้ออ้อยโรงใหญ่ ขนาด 20 มม. x 10 เมตร SD-40 เป็นเหล็กเสริมแรงที่มีความแข็งแรงสูง เหมาะสำหรับงานก่อสร้างขนาดใหญ่ เช่น สะพาน อุโมงค์ และอาคารสูง,725,บาท / เส้น,/images/metal-circle-6.png,TXS,เหล็กเส้น
